product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,nutriscore_grade
Veganes Protein Vanille,384.0,0.3,0.2,0.8,0.0,4.9,74.1,d
Formula 1 healthy meal,380.0,13.0,1.8,1.3,0.0001718568701056,20.0,40.0,e
Organic Coconut Sparkling Spring Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Sparkling water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Ryan's, Lemonade",54.0,13.33,0.0,0.01,15.8325,0.0,0.0,e
Apple cider,46.0,8.33,0.0,0.015,0.0,0.0,0.42,e
"Pumpkin pie flavored apple cider drink, pumpkin pie",58.0,12.92,0.0,0.0,18.75,0.0,0.0,e
Caramel flavor apple cider drink,54.0,12.5,0.0,0.0,0.0,0.0,0.0,e
100% apple cider juice,46.0,8.33,0.0,0.015,100.0,0.0,0.42,c
Core Hydration Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
"Soda, Black Cherry",48.0,12.39,0.0,0.025,0.0,0.0,0.0,e
Cream soda,48.0,12.68,0.0,0.025,0.0,0.0,0.0,e
"Diet Soda, Cola",0.0,0.0,0.0,0.00762,0.0,0.0,0.0,b
Soda,42.0,11.27,0.0,0.025,0.0,0.0,0.0,e
Soda,49.0,12.89,0.0,0.0762,11.4583333333333,0.0,0.0,e
Schnaps1,353.0,4.0,5.7,0.71,7.5,11.0,32.0,e
La Croix LimonCello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water beverage, kiwi strawberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Caffeine free cola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Diet Freshy Soda, Citrus",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
Cola,42.0,11.55,0.0,0.0,0.0,0.0,0.0,e
Cream soda,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,b
"Soda, peach",56.0,13.52,0.0,0.025,0.0,0.0,0.0,e
"Citrus soda, kountry mist",0.0,0.0,0.0,0.01,2.5,0.0,0.0,b
"Soda, lemonade",56.0,13.52,0.0,0.0425,0.0,0.0,0.0,e
Dr. chek no calorie soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Cola, cherry",42.0,11.83,0.0,0.0,0.0,0.0,0.0,e
"Soda, black cherry",54.0,12.96,0.0,0.0325,0.0,0.0,0.0,e
Dr. chek soda,42.0,11.27,0.0,0.015,0.0,0.0,0.0,e
"Cola, vanilla",42.0,11.83,0.0,0.0,0.0,0.0,0.0,e
Old style premium draft root beer,48.0,12.11,0.0,0.0275,0.0,0.0,0.0,e
Zero calorie cola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Zero Calorie Cola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Soda, green apple",65.0,15.49,0.0,0.0175,2.5,0.0,0.0,e
"Caffeine free soda, ginger ale",37.0,9.01,0.0,0.015,0.0,0.0,0.0,e
"Soda, grape",54.0,13.24,0.0,0.025,0.0,0.0,0.0,e
"Soda, orange pineapple",54.0,13.24,0.0,0.025,0.0,0.0,0.0,e
"Caffeine free soda, lemon lime",39.0,10.7,0.0,0.01,0.0,0.0,0.0,e
Root beer,54.0,12.96,0.0,0.0275,0.0,0.0,0.0,e
"Soda, strawberry",54.0,13.24,0.0,0.025,0.0,0.0,0.0,e
"Low calorie soda, orange",1.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Diet cola, cherry",0.0,0.0,0.0,0.0075,0.0,0.0,0.0,b
Caffeine free cola,45.0,12.11,0.0,0.0,0.0,0.0,0.0,e
"Diet soda, grape",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Freshy soda, citrus",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
Cola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Citrus soda, kountry mist",48.0,12.96,0.0,0.0175,0.0,0.0,0.0,e
"Red alert soda, cherry citrus",51.0,13.52,0.0,0.0175,0.0,0.0,0.0,e
"Diet soda, ginger ale",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"No calorie soda, lemon lime",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Soda, root beer",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Diet soda, cream",0.0,0.0,0.0,0.0075,0.0,0.0,0.0,b
"Soda, punch",54.0,13.24,0.0,0.0325,0.0,0.0,0.0,e
Caffeine Free Cola,45.0,12.11,0.0,0.0,0.0,0.0,0.0,e
Root beer,0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Cola, lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"No calorie soda, strawberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Soda, lemon lime",39.0,10.7,0.0,0.01,0.0,0.0,0.0,e
"Soda, Punch",54.0,13.24,0.0,0.0325,0.0,0.0,0.0,e
"Soda, orange",56.0,13.52,0.0,0.025,0.0,0.0,0.0,e
Cream soda,54.0,13.24,0.0,0.025,0.0,0.0,0.0,e
"Soda, Grape",54.0,13.24,0.0,0.025,0.0,0.0,0.0,e
"Soda, ginger ale",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
Red cream soda,51.0,12.39,0.0,0.025,0.0,0.0,0.0,e
"Soda, lemon lime",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
Root Beer,54.0,12.96,0.0,0.0275,0.0,0.0,0.0,e
"Kountry mist soda, citrus",0.0,0.0,0.0,0.01,2.5,0.0,0.0,b
"Soda, pineapple",54.0,13.75,0.0,0.02,0.0,0.0,0.0,e
"Soda, orange",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Soda, orange pineapple",54.0,13.33,0.0,0.025,0.0,0.0,0.0,e
"Old style premium draft soda, root beer",50.0,12.08,0.0,0.03,0.0,0.0,0.0,e
"Soda, red cream",50.0,12.5,0.0,0.025,0.0,0.0,0.0,e
"Cola, vanilla",42.0,11.67,0.0,0.0,0.0,0.0,0.0,e
"Soda, root beer",54.0,12.92,0.0,0.03,0.0,0.0,0.0,e
"Soda, ginger ale",38.0,9.17,0.0,0.015,0.0,0.0,0.0,e
"Soda, strawberry",54.0,12.92,0.0,0.025,0.0,0.0,0.0,e
"Soda, Orange",54.0,13.33,0.0,0.025,0.0,0.0,0.0,e
"Soda, grape",54.0,12.92,0.0,0.025,0.0,0.0,0.0,e
"Diet soda, root beer",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
Dr. chek soda,42.0,11.25,0.0,0.015,0.0,0.0,0.0,e
"Cola, cherry",46.0,11.67,0.0,0.0,0.0,0.0,0.0,e
"Cola, cherry",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Soda, peach",54.0,13.33,0.0,0.02,0.0,0.0,0.0,e
"Soda, cherry limeade",54.0,12.5,0.0,0.015,0.0,0.0,0.0,e
"Soda, punch",54.0,13.33,0.0,0.03,0.0,0.0,0.0,e
"Kountry mist soda, citrus",46.0,12.92,0.0,0.02,0.0,0.0,0.0,e
Caffeine free cola,42.0,11.67,0.0,0.0,0.0,0.0,0.0,e
"Kountry mist soda, citrus",0.0,0.0,0.0,0.015,2.5,0.0,0.0,b
"Soda, cream",54.0,12.92,0.0,0.025,0.0,0.0,0.0,e
"Soda, cream",0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Caffeine free soda, ginger ale",38.0,9.17,0.0,0.015,0.0,0.0,0.0,e
Apple cider from concentrate,46.0,11.67,0.0,0.005,25.0,0.0,0.0,e
"Cherry seltzer, cherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Raspberry seltzer, raspberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Green tea with ginseng & honey drink, ginseng & honey",31.0,6.67,0.0,0.01,0.0,0.0,0.0,e
Cola Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Club soda,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Tonic Water,37.0,9.58,0.0,0.0025,0.0,0.0,0.0,e
"Sparkling seltzer water, original",0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
"Sparkling seltzer water, black cherry",0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
"Sparkling seltzer water, mandarin orange",0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Sparkling water,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Diet tonic water,1.0,0.0,0.0,0.025,0.0,0.0,0.0,b
"Apple cider from concentrate, orange spice",46.0,11.67,0.0,0.0375,16.25,0.0,0.0,e
"Apple cider from concentrate, salted caramel",46.0,11.67,0.0,0.0425,16.25,0.0,0.0,e
"Apple cider from concentrate, pear ginger",50.0,12.08,0.0,0.0375,31.25,0.0,0.0,e
Italian sparkling mineral water,0.0,0.0,0.0,0.01,0.0,0.0,0.0,b
"Sparkling soda, pomegranate",42.0,10.0,0.0,0.0,5.0,0.0,0.0,e
"Soda, orange",46.0,12.08,0.0,0.015,0.0,0.0,0.0,e
Root beer,46.0,11.67,0.0,0.025,0.0,0.0,0.0,e
"Soda, orange pineapple",54.0,12.92,0.0,0.025,0.0,0.0,0.0,e
Diet cola,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,b
"Diet ginger ale, ginger",0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
"Sparkling seltzer water, lemon lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, lemon lime",0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
