product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,energy_points,sugars_points,saturated_fat_points,salt_points,fruits_points,fiber_points,proteins_points,total_negative_points,total_positive_points,total_score,nutriscore_grade
Veganes Protein Vanille,384.0,0.3,0.2,0.8,0.0,4.9,74.1,10,1,0,8,0,5,5,19,10,9,C
Formula 1 healthy meal,380.0,13.0,1.8,1.3,0.000171857,20.0,40.0,10,9,1,10,0,5,5,30,10,20,E
"Ryan's, Lemonade",54.0,13.33,0.0,0.01,15.8325,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Apple cider,46.0,8.33,0.0,0.015,0.0,0.0,0.42,7,6,0,0,0,0,0,13,0,13,D
"Pumpkin pie flavored apple cider drink, pumpkin pie",58.0,12.92,0.0,0.0,18.75,0.0,0.0,9,9,0,0,0,0,0,18,0,18,D
Caramel flavor apple cider drink,54.0,12.5,0.0,0.0,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
100% apple cider juice,46.0,8.33,0.0,0.015,100.0,0.0,0.42,7,6,0,0,10,0,0,13,10,3,C
"Soda, Black Cherry",48.0,12.39,0.0,0.025,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Cream soda,48.0,12.68,0.0,0.025,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Soda,42.0,11.27,0.0,0.025,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
Soda,49.0,12.89,0.0,0.0762,11.45833333,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Schnaps1,353.0,4.0,5.7,0.71,7.5,11.0,32.0,10,3,5,7,0,5,5,25,10,15,D
Cola,42.0,11.55,0.0,0.0,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Soda, peach",56.0,13.52,0.0,0.025,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
"Soda, lemonade",56.0,13.52,0.0,0.0425,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
"Cola, cherry",42.0,11.83,0.0,0.0,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Soda, black cherry",54.0,12.96,0.0,0.0325,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Dr. chek soda,42.0,11.27,0.0,0.015,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Cola, vanilla",42.0,11.83,0.0,0.0,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
Old style premium draft root beer,48.0,12.11,0.0,0.0275,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Soda, green apple",65.0,15.49,0.0,0.0175,2.5,0.0,0.0,10,10,0,0,0,0,0,20,0,20,E
"Caffeine free soda, ginger ale",37.0,9.01,0.0,0.015,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
