product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,energy_points,sugars_points,saturated_fat_points,salt_points,fruits_points,fiber_points,proteins_points,total_negative_points,total_positive_points,total_score,nutriscore_grade
Aqua Botol 600 ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Oat Milk,65,0.8,0.3,0.1,5,2.8,0.6,10,1,0,1,0,3,0,12,3,9,C
Le Minerale 600 ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Teh Pucuk Melati,29.2,7.5,0,0.00417,0,0,0,5,6,0,0,0,0,0,11,0,11,D
POCARI SWEAT 500 ml,12.4,2.9,0,0.0615,0,0,0,1,2,0,0,0,0,0,3,0,3,C
Aqua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Teh kotak teh melati,50,13,0,0.0187,0,0,0,7,9,0,0,0,0,0,16,0,16,D
Ultra Milk 1 liter,60,4,1.4,0.022,0,0.8,3.2,9,3,1,0,0,1,1,13,2,11,D
Bear Brand milk susu steril,63.5,4.76,2.65,0.0503,0,0,3.17,9,4,2,0,0,0,1,15,1,14,D
POCARI SWEAT 350ml,24,5.6,0,0.048,0,0,0,4,4,0,0,0,0,0,8,0,8,C
You C1000 Vitamin Lemon,50,11.4,0,0.179,0,0,0,7,8,0,1,0,0,0,16,0,16,D
Floridina Orange 350ML,45.7,10.9,0,0.0143,0,0,0,7,8,0,0,0,0,0,15,0,15,D
Ultra milk coklat,80,9.5,1.5,0.0225,0,0,3,10,7,1,0,0,0,1,18,1,17,D
Teh Pucuk Harum Less Sugar,18.8,5,0,0.0417,0,0,0,3,4,0,0,0,0,0,7,0,7,C
Ultra milk full cream 250 ml E-1B,120,8,3,0.04,0,1,6,10,6,2,0,0,1,3,18,4,14,D
Haribo happy cola,367,46.7,0,0,0,3.33,6.67,10,10,0,0,0,4,4,20,8,12,D
ENERGEN SUSU,438,46.9,12.5,0.469,0,3.12,6.25,10,10,10,5,0,4,3,35,7,28,E
Indomilk UHT Full Cream Plain,60,4.4,1.4,0.052,0,0,3.2,9,3,1,0,0,0,1,13,1,12,D
cocacola,100,27,0,0.015,0,0,0,10,10,0,0,0,0,0,20,0,20,E
Real Good Susu UHT Sereal Cokelat,100,13,1.5,0.055,0,0,3,10,9,1,0,0,0,1,20,1,19,E
SUSU BENDERA COKLAT,342,47.4,5.26,0.0789,0,0,2.63,10,10,5,0,0,0,1,25,1,24,E
NÜ Yoghurt Tea,90,20,0,0.02,0,0,0,10,10,0,0,0,0,0,20,0,20,E
SUSU ULTRA MILK  COKLAT 250ML,80,9.5,1.5,0.0225,0,0,3,10,7,1,0,0,0,1,18,1,17,D
Tebs sparkling mix pet,120,30,0,0.2375,0,0,0,10,10,0,2,0,0,0,22,0,22,E
Oat milk,130,6,5,0.2375,0,2,1,10,5,4,2,0,2,0,21,2,19,E
Floridina Coco 350ml,51.4,10.9,0,0.0143,0,0,0,8,8,0,0,0,0,0,16,0,16,D
milku stroberi 200ml,75,11,1.5,0.065,0,0,3,10,8,1,0,0,0,1,19,1,18,D
Buavita Orange Juice 250ml,52,8,0,0.055,0,0.8,0,8,6,0,0,0,1,0,14,1,13,D
Golda Dolce latte coffee 200,60,7.5,1,0.0525,0,0,1,9,6,0,0,0,0,0,15,0,15,D
