product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,energy_points,sugars_points,saturated_fat_points,salt_points,fruits_points,fiber_points,proteins_points,total_negative_points,total_positive_points,total_score,nutriscore_grade
Veganes Protein Vanille,384,0.3,0.2,0.8,0,4.9,74.1,10,1,0,8,0,5,5,19,10,9,C
Formula 1 healthy meal,380,13,1.8,1.3,0.000171857,20,40,10,9,1,10,0,5,5,30,10,20,E
Organic Coconut Sparkling Spring Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Sparkling water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Ryan's, Lemonade",54,13.33,0,0.01,15.8325,0,0,8,9,0,0,0,0,0,17,0,17,D
Apple cider,46,8.33,0,0.015,0,0,0.42,7,6,0,0,0,0,0,13,0,13,D
"Pumpkin pie flavored apple cider drink, pumpkin pie",58,12.92,0,0,18.75,0,0,9,9,0,0,0,0,0,18,0,18,D
Caramel flavor apple cider drink,54,12.5,0,0,0,0,0,8,9,0,0,0,0,0,17,0,17,D
100% apple cider juice,46,8.33,0,0.015,100,0,0.42,7,6,0,0,10,0,0,13,10,3,C
Core Hydration Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, Black Cherry",48,12.39,0,0.025,0,0,0,7,9,0,0,0,0,0,16,0,16,D
Cream soda,48,12.68,0,0.025,0,0,0,7,9,0,0,0,0,0,16,0,16,D
"Diet Soda, Cola",0,0,0,0.00762,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Soda,42,11.27,0,0.025,0,0,0,6,8,0,0,0,0,0,14,0,14,D
Soda,49,12.89,0,0.0762,11.45833333,0,0,7,9,0,0,0,0,0,16,0,16,D
Schnaps1,353,4,5.7,0.71,7.5,11,32,10,3,5,7,0,5,5,25,10,15,D
La Croix LimonCello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Sparkling water beverage, kiwi strawberry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Caffeine free cola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Diet Freshy Soda, Citrus",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Cola,42,11.55,0,0,0,0,0,6,8,0,0,0,0,0,14,0,14,D
Cream soda,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, peach",56,13.52,0,0.025,0,0,0,8,10,0,0,0,0,0,18,0,18,D
"Citrus soda, kountry mist",0,0,0,0.01,2.5,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, lemonade",56,13.52,0,0.0425,0,0,0,8,10,0,0,0,0,0,18,0,18,D
Dr. chek no calorie soda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Cola, cherry",42,11.83,0,0,0,0,0,6,8,0,0,0,0,0,14,0,14,D
"Soda, black cherry",54,12.96,0,0.0325,0,0,0,8,9,0,0,0,0,0,17,0,17,D
Dr. chek soda,42,11.27,0,0.015,0,0,0,6,8,0,0,0,0,0,14,0,14,D
"Cola, vanilla",42,11.83,0,0,0,0,0,6,8,0,0,0,0,0,14,0,14,D
Old style premium draft root beer,48,12.11,0,0.0275,0,0,0,7,9,0,0,0,0,0,16,0,16,D
Zero calorie cola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Zero Calorie Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, green apple",65,15.49,0,0.0175,2.5,0,0,10,10,0,0,0,0,0,20,0,20,E
"Caffeine free soda, ginger ale",37,9.01,0,0.015,0,0,0,6,7,0,0,0,0,0,13,0,13,D
"Soda, grape",54,13.24,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, orange pineapple",54,13.24,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Caffeine free soda, lemon lime",39,10.7,0,0.01,0,0,0,6,8,0,0,0,0,0,14,0,14,D
Root beer,54,12.96,0,0.0275,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, strawberry",54,13.24,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Low calorie soda, orange",1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Diet cola, cherry",0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Caffeine free cola,45,12.11,0,0,0,0,0,7,9,0,0,0,0,0,16,0,16,D
"Diet soda, grape",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Freshy soda, citrus",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Citrus soda, kountry mist",48,12.96,0,0.0175,0,0,0,7,9,0,0,0,0,0,16,0,16,D
"Red alert soda, cherry citrus",51,13.52,0,0.0175,0,0,0,8,10,0,0,0,0,0,18,0,18,D
"Diet soda, ginger ale",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"No calorie soda, lemon lime",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, root beer",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Diet soda, cream",0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, punch",54,13.24,0,0.0325,0,0,0,8,9,0,0,0,0,0,17,0,17,D
Caffeine Free Cola,45,12.11,0,0,0,0,0,7,9,0,0,0,0,0,16,0,16,D
Root beer,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Cola, lime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"No calorie soda, strawberry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, lemon lime",39,10.7,0,0.01,0,0,0,6,8,0,0,0,0,0,14,0,14,D
"Soda, Punch",54,13.24,0,0.0325,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, orange",56,13.52,0,0.025,0,0,0,8,10,0,0,0,0,0,18,0,18,D
Cream soda,54,13.24,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, Grape",54,13.24,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, ginger ale",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Red cream soda,51,12.39,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, lemon lime",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Root Beer,54,12.96,0,0.0275,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Kountry mist soda, citrus",0,0,0,0.01,2.5,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, pineapple",54,13.75,0,0.02,0,0,0,8,10,0,0,0,0,0,18,0,18,D
"Soda, orange",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, orange pineapple",54,13.33,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Old style premium draft soda, root beer",50,12.08,0,0.03,0,0,0,7,9,0,0,0,0,0,16,0,16,D
"Soda, red cream",50,12.5,0,0.025,0,0,0,7,9,0,0,0,0,0,16,0,16,D
"Cola, vanilla",42,11.67,0,0,0,0,0,6,8,0,0,0,0,0,14,0,14,D
"Soda, root beer",54,12.92,0,0.03,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, ginger ale",38,9.17,0,0.015,0,0,0,6,7,0,0,0,0,0,13,0,13,D
"Soda, strawberry",54,12.92,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, Orange",54,13.33,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, grape",54,12.92,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Diet soda, root beer",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Dr. chek soda,42,11.25,0,0.015,0,0,0,6,8,0,0,0,0,0,14,0,14,D
"Cola, cherry",46,11.67,0,0,0,0,0,7,8,0,0,0,0,0,15,0,15,D
"Cola, cherry",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, peach",54,13.33,0,0.02,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, cherry limeade",54,12.5,0,0.015,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, punch",54,13.33,0,0.03,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Kountry mist soda, citrus",46,12.92,0,0.02,0,0,0,7,9,0,0,0,0,0,16,0,16,D
Caffeine free cola,42,11.67,0,0,0,0,0,6,8,0,0,0,0,0,14,0,14,D
"Kountry mist soda, citrus",0,0,0,0.015,2.5,0,0,0,0,0,0,0,0,0,0,0,0,B
"Soda, cream",54,12.92,0,0.025,0,0,0,8,9,0,0,0,0,0,17,0,17,D
"Soda, cream",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Caffeine free soda, ginger ale",38,9.17,0,0.015,0,0,0,6,7,0,0,0,0,0,13,0,13,D
Apple cider from concentrate,46,11.67,0,0.005,25,0,0,7,8,0,0,0,0,0,15,0,15,D
"Cherry seltzer, cherry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Raspberry seltzer, raspberry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
"Green tea with ginseng & honey drink, ginseng & honey",31,6.67,0,0.01,0,0,0,5,5,0,0,0,0,0,10,0,10,C
